epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
22,183,,,0.9912280440330505,0.09797278791666031,,
23,191,,,,,0.9642857313156128,0.18433889746665955
23,191,,,0.9912280440330505,0.09172471612691879,,
24,199,,,,,0.9642857313156128,0.17816925048828125
24,199,,,0.9912280440330505,0.08547467738389969,,
25,207,,,,,0.9642857313156128,0.17293453216552734
25,207,,,0.9912280440330505,0.07989460974931717,,
26,215,,,,,0.9642857313156128,0.16881100833415985
26,215,,,0.9912280440330505,0.07539504021406174,,
27,223,,,,,0.9642857313156128,0.16605432331562042
27,223,,,0.9912280440330505,0.07095520943403244,,
28,231,,,,,0.9642857313156128,0.1639285385608673
28,231,,,0.9912280440330505,0.06686759740114212,,
29,239,,,,,0.9642857313156128,0.16113993525505066
29,239,,,0.9912280440330505,0.06322541832923889,,
30,247,,,,,0.9642857313156128,0.15814171731472015
30,247,,,0.9912280440330505,0.05977331101894379,,
31,255,,,,,0.9642857313156128,0.15574511885643005
31,255,,,0.9912280440330505,0.05659061297774315,,
32,263,,,,,0.9642857313156128,0.15217404067516327
32,263,,,0.9912280440330505,0.05387820303440094,,
33,271,,,,,0.9642857313156128,0.15032680332660675
33,271,,,0.9912280440330505,0.05115059018135071,,
34,279,,,,,0.9642857313156128,0.14846016466617584
34,279,,,0.9912280440330505,0.04895155131816864,,
35,287,,,,,0.9642857313156128,0.14684279263019562
35,287,,,0.9912280440330505,0.046708911657333374,,
36,295,,,,,0.9642857313156128,0.14833484590053558
36,295,,,1.0,0.044561732560396194,,
37,303,,,,,0.9642857313156128,0.1475793570280075
37,303,,,0.9912280440330505,0.04279736429452896,,
38,311,,,,,0.9642857313156128,0.14777885377407074
38,311,,,0.9912280440330505,0.040756918489933014,,
39,319,,,,,0.9642857313156128,0.1472720354795456
39,319,,,0.9912280440330505,0.03979334607720375,,
40,327,,,,,0.9642857313156128,0.14358077943325043
40,327,,,1.0,0.03782965987920761,,
41,335,,,,,0.9642857313156128,0.14096127450466156
41,335,,,1.0,0.03573210909962654,,
42,343,,,,,0.9642857313156128,0.13897280395030975
42,343,,,1.0,0.03411164879798889,,
43,351,,,,,0.9642857313156128,0.13707728683948517
43,351,,,1.0,0.03278354927897453,,
44,359,,,,,0.9642857313156128,0.13609930872917175
44,359,,,1.0,0.031485289335250854,,
45,367,,,,,0.9642857313156128,0.1345534771680832
45,367,,,1.0,0.03035963885486126,,
46,375,,,,,0.9642857313156128,0.13335135579109192
46,375,,,1.0,0.029290195554494858,,
47,383,,,,,0.9642857313156128,0.1320311427116394
47,383,,,1.0,0.028366900980472565,,
